book_id,title,genre,description
17,Cereus Blooms At Night,Fiction|LGBT|Magical Realism|Caribbean Literature,"<Cereus Blooms At Night> is a novel by Shani Mootoo that explores themes of identity, trauma, and redemption through the story of Mala Ramchandin, a reclusive woman suspected of murder, as narrated by her caretaker, Tyler."
18,Farmer Giles of Ham: And Other Stories,Children's literature|Fantasy fiction,<Farmer Giles of Ham: And Other Stories> is a comic medieval fable by J.R.R.
19,Paddington's Birthday Party,Children's|Humor|Family,<Paddington's Birthday Party> is a delightful children's book where Paddington Bear's birthday celebration leads to humorous and heartwarming adventures.
20,Paddington in the Kitchen,Children's Fiction,<Paddington in the Kitchen> is a delightful story where Paddington Bear turns the kitchen upside down when he bakes himself a marmalade cake.
21,Babe Dressing,Children's|Board Book,"<Babe Dressing> is a children's board book by Mandy Stanley, published by HarperCollins Publishers in 1997."
22,When It's Time for Bed (Collins Baby &amp; Toddler S.),Children's|Picture Book|Board Book,<When It's Time for Bed (Collins Baby &amp; Toddler S.)> is <When It's Time for Bed (Collins Baby & Toddler S.)> is a board book by Nick Butterworth featuring a young boy and his six toy animal friends as they go through their bedtime routines.
23,Baby Plays (Collins Baby and Toddler Series),Children's|Board Book|Early Learning,"<Baby Plays (Collins Baby and Toddler Series)> is a board book featuring photographs of babies aged 6 to 12 months engaging in everyday activities, accompanied by simple text to support early learning."
24,Huck Scarry's Steam Train Journey,Children's Nonfiction|Transportation|Railroad,"<Huck Scarry's Steam Train Journey> is a detailed exploration of steam trains and their history, featuring intricate illustrations and informative captions."
25,On the Road,Fiction|Beat Generation|Travel Literature,"<On the Road> is a novel by Jack Kerouac that chronicles the cross-country adventures of Sal Paradise and Dean Moriarty, embodying the spirit of the Beat Generation through themes of freedom, rebellion, and self-discovery."
26,The Clue in the Crumbling Wall,Mystery|Juvenile Fiction,<The Clue in the Crumbling Wall> is a Nancy Drew mystery where Nancy and her friends search for a missing dancer's inheritance concealed within the walls of an old mansion.
27,The Book of Riddles (Beginner Books),Children's|Humor|Picture Books,<The Book of Riddles (Beginner Books)> is a collection of humorous riddles designed to engage young readers with its playful questions and colorful illustrations.
28,The Big Honey Hunt,Children's Fiction|Humor|Animals,"<The Big Honey Hunt> is a children's book by Stan and Jan Berenstain, introducing the Berenstain Bears series, where Papa Bear and Small Bear embark on a humorous adventure to find honey."
29,It's Not Easy Being a Bunny (A Beginner Book),Children's Literature|Picture Books|Humor|Animals,<It's Not Easy Being a Bunny (A Beginner Book)> is a children's book about P.J.
30,Spooky Riddles,Children's|Humor|Halloween|Picture Books,"<Spooky Riddles> is a collection of riddles featuring witches, skeletons, ghosts, vampires, mummies, and other supernatural beings."
31,I Want to Be Somebody New! (I Can Read It All by Myself),Children's Fiction|Picture Books|Animals|Self-Esteem,"<I Want to Be Somebody New! (I Can Read It All by Myself)> is a story about Spot, a circus performer who, tired of his act, transforms into various animals before realizing that being himself is best."
32,ARE YOU MY MOTHER MINI PB (EXPORT),Children's|Picture Books|Fiction|Animals,<ARE YOU MY MOTHER MINI PB (EXPORT)> is a classic children's book by P.D.
33,Day Time (Step by Step),Children's|Education|Reference,"<Day Time (Step by Step)> is a children's educational book by Diane Wilmer and Nicola Smee, published by HarperCollins Publishers in 1987."
34,Paddington at the Tower (A Paddington Picture Book),Children's Fiction|Humorous Fiction|Classics,<Paddington at the Tower (A Paddington Picture Book)> is a humorous children's story where Paddington Bear's visit to the Tower of London leads to unexpected adventures involving marmalade sandwiches and mischievous ravens.
35,The Adventures of Paddington,Children's|Adventure|Comedy,"<The Adventures of Paddington> is a children's book by Michael Bond that follows the humorous adventures of Paddington Bear, a young Peruvian bear who travels to London and finds himself in a series of amusing situations."
36,Autumn Story Brambly Hedge,Children's Literature|Fantasy|Animal Fiction,"<Autumn Story Brambly Hedge> is a children's book by Jill Barklem, depicting the adventures of mice in the English countryside."
37,Bess,Historical Fiction|Children's Literature,"<Bess> is a historical novel by Robert Leeson, part of a trilogy about a British family in the sixteenth and seventeenth centuries."
38,Red Shift,Fantasy|Historical Fiction|Young Adult,"<Red Shift> is a novel by Alan Garner that intertwines three love stories set in different historical periods, all connected by a stone axe and the landscape of Cheshire, England."
39,February's Road,Children's Fiction|Adventure|Mystery,"<February's Road> is a children's adventure novel by John Verney, where thirteen-year-old February Callendar investigates a proposed highway through her family's land, uncovering shady dealings and sabotage to save their farm."
40,The Growing Summer,Children's Fiction|Middle Grade|Summer|Classics,"<The Growing Summer> is a children's novel by Noel Streatfeild, illustrated by Edward Ardizzone, about four siblings sent to stay with their eccentric Great Aunt Dymphna in rural Ireland, where they learn self-sufficiency and experience the joys of summer."
41,The Moon of Gomrath,Children's Fantasy,"<The Moon of Gomrath> is a children's fantasy novel by Alan Garner, following siblings Colin and Susan as they confront ancient magical forces in the Cheshire countryside."
42,THE COAL HOUSE T/PB,Mystery|Detective Fiction,"<THE COAL HOUSE T/PB> is a mystery novel by Andrew Taylor, published by HarperCollins Publishers in 1986."
43,SONG OF THE CITY CSD,Poetry|Children's Poetry,"<SONG OF THE CITY CSD> is a collection of poems by Gareth Owen, published by HarperCollins Publishers in 1987, focusing on dancing and adventure in city streets."
44,Glue (First Facts - First Skills),Children's|Educational|Non-fiction,<Glue (First Facts - First Skills)> is a children's educational book that introduces young readers to the properties and uses of glue through simple explanations and engaging illustrations.
45,The Brambly Hedge Treasury,Children's|Animals,<The Brambly Hedge Treasury> is a collection of stories by Jill Barklem featuring a community of mice living in the English countryside.
46,The Collins Book of Nursery Tales,Children's|Fairy Tales|Nursery Rhymes,"<The Collins Book of Nursery Tales> is a collection of traditional nursery rhymes and fairy tales, including 'Little Red Riding Hood' and 'The Three Billy Goats Gruff', retold and illustrated by Jonathan Langley."
47,Little Grey Rabbit's Christmas (Collins Colour Cubs),Children's Fiction|Christmas|Animals|Picture Books,<Little Grey Rabbit's Christmas (Collins Colour Cubs)> is a charming tale where Little Grey Rabbit and her friends celebrate a festive Christmas in their woodland home.
48,Little Grey Rabbit's Birthday (Little Grey Rabbit Cubs),Children's|Picture Books|Animals,"<Little Grey Rabbit's Birthday (Little Grey Rabbit Cubs)> is a story where Squirrel and Hare plan a surprise birthday party for Little Grey Rabbit, involving their woodland friends and a special birthday cake."
49,Little Grey Rabbit makes lace (The Little Grey Rabbit library),Children's Fiction|Animals|Picture Books,<Little Grey Rabbit makes lace (The Little Grey Rabbit library)> is a story where Little Grey Rabbit learns to make lace with the help of her friends to trim a nightcap for Mrs.
50,Count Duckula: Vampire Vacation,Animation|Comedy|Family|Horror,<Count Duckula: Vampire Vacation> is a collection of six animated adventures featuring Count Duckula and his loyal servants.
51,Hilda Boswell's Blue Treasury,Children's|Anthology,"<Hilda Boswell's Blue Treasury> is a collection of stories, poems, and nursery rhymes for children."
52,The Revenge of Murray the Mantis,Children's|Fantasy|Adventure,<The Revenge of Murray the Mantis> is a children's fantasy adventure where the Ghostbusters face off against a giant praying mantis in New York City.
53,God bless love: A collection of children's sayings,Nonfiction|Children's|Humor,"<God bless love: A collection of children's sayings> is a compilation of humorous and insightful remarks made by children, showcasing their unique perspectives and wit."
54,Collins guide to dinosaurs,Nonfiction|Reference|Paleontology,"<Collins guide to dinosaurs> is a comprehensive reference book by David Lambert, published by Collins in 1983, detailing various dinosaur species, their habitats, and behaviors."
55,The Earth and the Sky (Tell Me About),Science|Children's|Non-fiction,"<The Earth and the Sky (Tell Me About)> is a non-fiction book by Pierre Averous, published by HarperCollins Publishers in 1982, that provides information about the weather and phenomena in the earth and sky."
56,PADDINGTON GOES TO SALES L/CUB (Collins Colour Cubs),Children's Fiction,<PADDINGTON GOES TO SALES L/CUB (Collins Colour Cubs)> is a children's story where Paddington Bear's new pyjamas attract unintended attention during a shopping trip with Mrs.
57,The Cross Rabbit (Percy's Park),Children's|Animals|Picture Books,"<The Cross Rabbit (Percy's Park)> is a humorous children's picture book by Nick Butterworth, featuring Percy the Park Keeper as he helps a cross rabbit disturbed by noisy mice playing in the snow."
58,The Badger's Bath (Percy's Park),Children's|Picture Books|Animals,"<The Badger's Bath (Percy's Park)> is a humorous children's picture book where Percy the Park Keeper insists that Badger take a bath before tea, leading to a series of amusing events."
59,The Sea of Tranquility,Children's Fiction|Historical Fiction|Space Exploration,<The Sea of Tranquility> is a picture book that captures a young boy's fascination with the moon and the excitement of the first lunar landing.
60,"Black Berry, Sweet Juice: On Being Black and White in Canada",Memoir|Non-fiction|Race Studies,"<Black Berry, Sweet Juice: On Being Black and White in Canada> is a memoir by Lawrence Hill that explores his personal experiences and interviews with other Canadians of mixed race, examining the complexities of racial identity in Canada."
61,Farley: The Life of Farley Mowat,Biography,"<Farley: The Life of Farley Mowat> is a comprehensive biography by James King that delves into the life of Canadian author and environmentalist Farley Mowat, exploring his personal relationships, literary works, and environmental advocacy."
62,"Fatal Passage: The Untold Story of John Rae, the Arctic Adventurer Who Discovered the Fate of Franklin",Biography|History|Adventure,"<Fatal Passage: The Untold Story of John Rae, the Arctic Adventurer Who Discovered the Fate of Franklin> is a biography of John Rae, an Arctic explorer who uncovered the fate of the Franklin expedition and the Northwest Passage."
63,Clara Callan,Historical Fiction|Literary Fiction,<Clara Callan> is a novel by Richard B.
64,The Romantic,Fiction|Contemporary|Romance|Literary Fiction,"<The Romantic> is a novel by Barbara Gowdy that explores the complex and enduring love between Louise Kirk and Abel Richter, delving into themes of passion, obsession, and the challenges of unrequited love."
65,A Blade of Grass,Historical Fiction|Literary Fiction|Women's Fiction,"<A Blade of Grass> is a novel by Lewis DeSoto that explores the lives of two women, one white and one black, on a farm in 1970s South Africa amidst political turmoil."
66,Vancouver,Historical Fiction|Canadian Literature|Saga,<Vancouver> is a historical novel by David Cruise and Alison Griffiths that chronicles the city's evolution from the Ice Age to the present through the lives of diverse characters.
67,The companion guide to Tuscany,Travel|Nonfiction,"<The companion guide to Tuscany> is a comprehensive travel guide offering detailed insights into Tuscany's rich history, art, and culture."
68,In the shadow of man;,Nonfiction|Science|Nature|Anthropology,<In the shadow of man;> is a classic account of primate behavior that combines a landmark scientific study with a fascinating adventure story of a determined young woman's struggle in remote Africa to approach primates in the wild as no one had ever done before.
69,The Great Rebellion: Vol.1: The King's Peace 1637-1641,History|Nonfiction|Biography|17th Century,"<The Great Rebellion: Vol.1: The King's Peace 1637-1641> is a detailed account of the four years leading up to the English Civil War, focusing on the events that transformed King Charles's dominions into a land rent by mistrust and menaced by fire and sword."
70,Mother Teresa: Her people and her work,Biography|Religion|Christianity,"<Mother Teresa: Her people and her work> is a biography of Mother Teresa, detailing her life and the Missionaries of Charity, offering an intimate portrayal of her dedication to serving the destitute in Kolkata."
71,There's A Seal in my Sleeping Bag,Nonfiction|Biography|Nature|Wildlife,"<There's A Seal in my Sleeping Bag> is a memoir by Lyn Hancock detailing her experiences as the wife of a Canadian wildlife biologist, including adventures with seals, eagles, and other wildlife along the Canadian Northwest coast."
72,Audacity to believe,Biography|Memoir|Christianity,"<Audacity to believe> is a memoir by Sheila Cassidy detailing her experiences as a young doctor in Chile, where she was arrested, tortured, and expelled for providing medical care to a wounded rebel during the Pinochet regime."
73,The badger (A New naturalist monograph),Nature|Wildlife|Mammalogy,"<The badger (A New naturalist monograph)> is a comprehensive study of the European badger's biology, behavior, and ecology, based on extensive field research."
74,Pedigree;: Essays on the etymology of words from nature (The New naturalist; a survey of British natural history),Non-fiction|Language|Etymology|Natural history,"<Pedigree;: Essays on the etymology of words from nature (The New naturalist; a survey of British natural history)> is a book by Stephen Potter and Laurens Sargent that explores the origins of English words derived from nature, including plants, animals, and natural phenomena."
75,Wild swans: Three daughters of China,Biography|Memoir|History|Nonfiction,<Wild swans: Three daughters of China> is a memoir by Jung Chang that chronicles the lives of three generations of women in her family against the backdrop of 20th-century China.
76,All My Road Before Me: The Diary of C.S.Lewis 1922-27,Biography|Nonfiction|Memoir|Religion,<All My Road Before Me: The Diary of C.S.Lewis 1922-27> is a collection of C.S.
77,Anna and the Black Knight,Biography|Religion & Spirituality|Children's Literature,"<Anna and the Black Knight> is a sequel to 'Mister God, This Is Anna,' introducing Mister John, a World War I veteran and local schoolmaster, who profoundly influences Anna's life as she explores new experiences like school, priests, and motor cars."
78,Of This and Other Worlds,Essays|Nonfiction|Literary Criticism,<Of This and Other Worlds> is a collection of essays and stories by C.
79,Inside memory: Pages from a writer's workbook,Biography|Memoir|Nonfiction,"<Inside memory: Pages from a writer's workbook> is a memoir by Timothy Findley, offering reflections on his life and the craft of writing."
80,Roseanne: My Life as a Woman,Biography|Memoir|Humor|Feminism,"<Roseanne: My Life as a Woman> is an autobiography by Roseanne Barr detailing her Jewish upbringing in Salt Lake City, her rise to fame, and her feminist perspectives."
81,King Edward VIII: The official biography,Biography|History|Nonfiction,"<King Edward VIII: The official biography> is a comprehensive account of Edward VIII's life, detailing his abdication of the British throne to marry Wallis Simpson."
82,Shifting Gears: Thriving in the New Economy,Business|Economics|Non-fiction,<Shifting Gears: Thriving in the New Economy> is a book by Nuala Beck that explores the transition from traditional manufacturing to knowledge-based industries in the evolving economic landscape.
83,Tapestry of war: A private view of Canadians in the Great War,History|Nonfiction|Canada|War,"<Tapestry of war: A private view of Canadians in the Great War> is a social history that chronicles Canada's transformation during World War I through the personal experiences of ten Canadians, including diaries and letters."
84,Faultlines: Struggling for a Canadian vision,Non-fiction|Politics|Canadian Studies,<Faultlines: Struggling for a Canadian vision> is a book written by Jeffrey Simpson and published by HarperCollins in 1993.
85,Challenge to Civilization a History Of,History|Non-fiction|20th Century,"<Challenge to Civilization a History Of> is a comprehensive account of global events from 1952 to 1999, covering wars, political developments, technological advancements, and social changes."
86,Landscape and Memory,History|Art History|Nature|Philosophy,"<Landscape and Memory> is a profound exploration of how landscapes have shaped human culture and imagination, intertwining history, art, and philosophy."
87,China Tide,Non-fiction|History|Immigration Studies,"<China Tide> is a comprehensive examination of the Hong Kong exodus to Canada, analyzing the economic conditions and immigration patterns that shaped this significant migration."
88,C. S. Lewis: A biography,Biography|Nonfiction|History|Christianity,<C.
89,"Cary Grant, haunted idol",Biography|Nonfiction|Film,"<Cary Grant, haunted idol> is a biography by Geoffrey Wansell that delves into the life of actor Cary Grant, exploring his childhood, marriages, relationships, and the fears and obsessions that influenced his film career."
90,Arthur C. Clarke's mysterious world,Nonfiction|Science|Paranormal|Mystery,<Arthur C.
91,Travelling reserve,Biography|Sports|Humor,"<Travelling reserve> is a humorous memoir by Ian Wooldridge, offering an insider's look into the world of sports journalism."
92,Arthur Bryant: Portrait of a historian,Biography|History,"<Arthur Bryant: Portrait of a historian> is a biography of Sir Arthur Bryant, an English historian and columnist for The Illustrated London News, known for his studies of Samuel Pepys and English history."
93,Arthur C. Clarke's World of strange powers,Non-fiction|Paranormal|Documentary,<Arthur C.
94,Memoirs of a great Canadian detective: Incidents in the life of John Wilson Murray,Biography|Crime|History,"<Memoirs of a great Canadian detective: Incidents in the life of John Wilson Murray> is an autobiographical account detailing the life and experiences of John Wilson Murray, a renowned Canadian detective who investigated various crimes in Ontario during the late 19th and early 20th centuries."
95,The stationary ark,Nonfiction|Animals|Nature|Humor,"<The stationary ark> is Gerald Durrell's account of establishing a model zoo in Jersey, emphasizing animal welfare and conservation."
97,Winner's Edge,Gambling|Self-Help,<Winner's Edge> is a comprehensive guide to casino gambling strategies and money management techniques.
98,Bonnie Sterns Cuisinart Cookbook,Cookbook|Cooking|Food,"<Bonnie Sterns Cuisinart Cookbook> is a cookbook by Bonnie Stern, published by Cuisinarts in 1985, featuring over 140 recipes designed to maximize the use of the Cuisinart food processor."
99,"The fatal shore: A history of the transportation of convicts to Australia, 1787-1868",History|Nonfiction|Australia|World History,"<The fatal shore: A history of the transportation of convicts to Australia, 1787-1868> is a comprehensive account of the British convict transportation system and its impact on Australia's early history."
100,Back to Cape Horn,Nonfiction|Travel|Biography,<Back to Cape Horn> is a memoir detailing Rosie Swale's solo horseback journey through Chile to Cape Horn.
101,"The diaries of Lord Louis Mountbatten, 1920-1922: Tours with the Prince of Wales",Biography|History|Travel,"<The diaries of Lord Louis Mountbatten, 1920-1922: Tours with the Prince of Wales> is a collection of personal accounts by Lord Louis Mountbatten, detailing his experiences accompanying the Prince of Wales on royal tours to Australia, New Zealand, India, Japan, and the Far East between 1920 and 1922."
102,Arthur C. Clarke's chronicles of the strange and mysterious,Nonfiction|Paranormal|Reference,<Arthur C.
103,STEVE MCQUEEN,Biography|Entertainment,"<STEVE MCQUEEN> is a biography of the actor Steve McQueen, detailing his rise to fame and personal struggles."
104,The Financial post selects the 100 best companies to work for in Canada,Business|Career|Reference,<The Financial post selects the 100 best companies to work for in Canada> is a comprehensive guide profiling top Canadian employers based on employee satisfaction and workplace quality.
105,Still Dancing: My Story,Biography|Autobiography|Performing Arts,"<Still Dancing: My Story> is an autobiography of Lew Grade, detailing his journey from a professional dancer to a prominent figure in the entertainment industry."
106,Christmas in America: Images of the Holiday Season by 100 of America's Leading Photographers,Photography|Art|Nonfiction,"<Christmas in America: Images of the Holiday Season by 100 of America's Leading Photographers> is a photographic panorama capturing the diverse ways Americans prepare for, celebrate, and reflect on Christmas, as documented by 100 top photographers."
107,A Day in the Life of the Soviet Union,Photography|Nonfiction|History|Travel,"<A Day in the Life of the Soviet Union> is a photographic exploration capturing the daily lives of Soviet citizens across all 15 republics on May 15, 1987."
108,The Illustrated Brontes of Haworth: Scenes and Characters from the Lives and Writings of the Bronte Sisters (Willow Books),Biography|Literature|Historical,"<The Illustrated Brontes of Haworth: Scenes and Characters from the Lives and Writings of the Bronte Sisters (Willow Books)> is a richly illustrated exploration of the Brontë sisters' lives and works, offering insights into their personal experiences and literary creations."
109,Nigel Mansell My Autobiography,Biography|Autobiography|Sports,<Nigel Mansell My Autobiography> is a candid account of the British racing driver's journey to becoming a Formula One World Champion.
110,Heathlands (The New naturalist library),Nature|Ecology|Environmental Science,"<Heathlands (The New naturalist library)> is a comprehensive exploration of Britain's lowland heathlands, detailing their formation, ecology, and the diverse plant and animal species they support."
111,Life on earth: A natural history,Nonfiction|Science|Nature|Biology,"<Life on earth: A natural history> is a comprehensive exploration of the evolution and diversity of life on Earth, examining the development, characteristics, and adaptations of various species across different ecosystems."
112,Birds of East Africa (Collins Field Guides),Nature|Reference|Nonfiction,<Birds of East Africa (Collins Field Guides)> is a comprehensive field guide by John G.
113,National Parks of East Africa (Collins Field Guides),Nature|Travel|Reference,"<National Parks of East Africa (Collins Field Guides)> is a comprehensive guide detailing the national parks, game reserves, and animal sanctuaries of Kenya, Uganda, and Tanzania, featuring descriptions of 400 mammals and birds, along with maps of 25 reserves."
114,The wild flowers of Britain and northern Europe,Reference|Natural History|Nonfiction|Nature,"<The wild flowers of Britain and northern Europe> is a comprehensive guide to wild trees, shrubs, and flowering plants across Britain, Ireland, and Europe from the Arctic to the Alps, featuring nearly 2,000 species with 1,450 color illustrations."
115,Collins Bird Guide: The Most Complete Field Guide to the Birds of Britain and Europe,Reference|Nature|Field Guide,"<Collins Bird Guide: The Most Complete Field Guide to the Birds of Britain and Europe> is a comprehensive field guide offering detailed information on the identification, habitat, and distribution of European birds."
116,The first Eden: The Mediterranean world and man,Nonfiction|Nature|History,<The first Eden: The Mediterranean world and man> is a book written by David Attenborough and published by BBC Books in 1987.
117,Collins Field Guide Birds of Britain and Europe,Nature|Field Guide|Reference,"<Collins Field Guide Birds of Britain and Europe> is a comprehensive field guide to the birds of the Western Palaearctic region, providing detailed species accounts, color illustrations, and distribution maps."
118,Collins Pocket Guide to Stars and Planets,Science|Astronomy|Nonfiction,"<Collins Pocket Guide to Stars and Planets> is a comprehensive guide to the night sky, featuring monthly sky maps, detailed descriptions of constellations, and practical advice for amateur astronomers."
119,Seashore (Collins New Naturalist),Nature|Natural History|Environmental Science,"<Seashore (Collins New Naturalist)> is a comprehensive, authoritative account of the natural history of the seashore, from earliest times to the present day."
120,Lichens (New Naturalist),Science|Nature|Ecology,"<Lichens (New Naturalist)> is a comprehensive exploration of British lichens, detailing their history, biology, habitats, and role as indicators of air pollution."
121,Lichens (New Naturalist),Science|Nature|Ecology,"<Lichens (New Naturalist)> is a comprehensive exploration of British lichens, detailing their history, biology, habitats, and role as indicators of environmental pollution."
122,AMPHIBIANS AND REPTILES,Science|Nature|Field Guide,"<AMPHIBIANS AND REPTILES> is a comprehensive guide to the native and non-native species of amphibians and reptiles found in the British Isles, covering their biology, ecology, conservation, and identification."
123,British Bats (Collins New Naturalist),Nonfiction|Science|Natural History,"<British Bats (Collins New Naturalist)> is a comprehensive account of the natural history of these fascinating animals, from their origins and evolution to their feeding habits and reproduction."
124,Moths (New Naturalist),Science|Nature|Entomology,<Moths (New Naturalist)> is a comprehensive account of the diverse natural history of these fascinating and popular insects.
125,Loch Lomondside,Nature|History|Travel,"<Loch Lomondside> is a comprehensive account of the history and natural history of Loch Lomondside, covering its people, forestry, agriculture, fisheries, natural history, recreational activities, and conservation."
126,HOUSE DOCTOR,Home Improvement|Interior Design,<HOUSE DOCTOR> is a guide by Ann Maurice offering practical advice on enhancing your home's appeal to increase its market value.
127,Agent In Place,Espionage|Thriller|Mystery|Suspense,"<Agent In Place> is a sophisticated narrative of spy and counterspy set in Washington, where a Russian agent has infiltrated the government and society over nine years, leading to a team of British and French agents working to thwart further Russian intervention."
128,Bear Island,Thriller|Mystery|Adventure,"<Bear Island> is a thriller novel by Alistair MacLean, set on a remote Arctic island where a film crew becomes entangled in a deadly conspiracy."
129,"The black moon;: A novel of Cornwall, 1794-5",Historical Fiction|Romance,"<The black moon;: A novel of Cornwall, 1794-5> is the fifth novel in Winston Graham's Poldark series, set in Cornwall during the late 18th century, focusing on the complex relationships and rivalries between the Poldark and Warleggan families."
130,The candywine development,Fiction|Thriller|Mystery,"<The candywine development> is a thriller novel by John Morris, featuring the adventures of Jassy Vane, a Jamaican security agent investigating covert activities on the Caribbean island of Candywine."
131,Dragonmede,Gothic Fiction|Romance|Historical Fiction,"<Dragonmede> is a Gothic novel set in late 1800s London, following Eustacia Rochdale's marriage to Julian Kershaw, heir to Dragonmede, as she uncovers dark secrets and faces life-threatening accidents."
132,The Echoing Grove,Fiction|Romance|Literary Fiction,<The Echoing Grove> is a novel by Rosamond Lehmann that delves into the complex relationships between two sisters and the man they both love.
133,The eagle has landed,War|Thriller|Historical Fiction,"<The eagle has landed> is a World War II thriller by Jack Higgins, depicting a German plot to kidnap Winston Churchill."
134,Hugh,Science Fiction|Adventure|Survival,<Hugh> is a gripping tale of a young US Navy lieutenant's solitary struggle for survival after being shipwrecked on a Japanese-occupied island during World War II.
135,Peter's pence;: A novel,Thriller|Mystery,"<Peter's pence;: A novel> is a thriller about an IRA plot to steal Vatican treasures with the help of an Irish-American journalist, which goes awry when they kidnap the Pope instead."
136,"My Son, My Son",Historical Fiction|Family Saga|Literary Fiction,"<My Son, My Son> is a novel by Howard Spring that explores the intertwined lives of two families over several decades, delving into themes of ambition, love, and the impact of the Great War."
137,Breakheart Pass,Western|Thriller|Historical Fiction,"<Breakheart Pass> is a Western thriller set in the 1870s, following a perilous train journey through the Sierra Nevada mountains."
138,The private life of Mona Lisa,Historical Fiction|Art Fiction|Biography,"<The private life of Mona Lisa> is a historical novel by Pierre La Mure that delves into the life of Lisa Gherardini, the woman behind Leonardo da Vinci's famous painting, set against the backdrop of Renaissance Italy."
139,Lord of the Far Island,Romance|Gothic|Historical Fiction|Mystery,"<Lord of the Far Island> is a Gothic romance novel by Victoria Holt, set in Cornwall, where Ellen Kellaway uncovers dark family secrets on a mysterious island."
140,The enemy,Thriller|Espionage|Suspense,"<The enemy> is The enemy is a first-person narrative espionage thriller novel by Desmond Bagley, first published in 1977."
141,Offshore,Fiction|Literary Fiction|Historical Fiction,<Offshore> is a novel by Penelope Fitzgerald that portrays the lives of a group of eccentrics living on houseboats along the Thames in 1960s London.
142,Puppet on a chain,Thriller|Crime|Action,"<Puppet on a chain> is a gripping thriller by Alistair MacLean, set in Amsterdam's narcotics underworld, following Interpol agent Paul Sherman as he confronts a ruthless heroin smuggling ring."
143,The perfect carrier,Historical Fiction|Espionage|Thriller,"<The perfect carrier> is The perfect carrier is a historical espionage thriller set in Singapore during the 1950s, focusing on the complex dynamics between local communists and Chinese intelligence operatives."
144,The spoilers,Thriller|Action|Adventure|Crime,<The spoilers> is The Spoilers is a thriller where a film tycoon assembles a team to infiltrate and dismantle a major international drug ring responsible for his daughter's death.
145,The tightrope men,Thriller|Adventure|Espionage,"<The tightrope men> is a thriller novel by Desmond Bagley, following Giles Denison's perilous journey after being transformed into a Finnish scientist amidst Cold War tensions."
146,The woman destroyed;,Fiction|Feminist Fiction|Literary Fiction,"<The woman destroyed;> is a collection of three stories by Simone de Beauvoir, each exploring women's struggles with aging, loneliness, and betrayal."
147,The way to dusty death,Thriller|Mystery|Adventure,"<The way to dusty death> is a thrilling tale of a world champion Formula 1 driver who, after a devastating accident, uncovers a sinister conspiracy within the racing world."
